t_s,v_true_mps,v_raw_mps,v_iqr_mps,v_kalman_mps
1.752,1.45380710052131,1.47885078293439,1.44289438693191,1.44283002878267
1.792,1.45833810907927,1.46717256497059,1.44567361521807,1.4456457342396
1.832,1.46286089280542,1.45820496013817,1.45105907875818,1.451006001651
1.872,1.467375273148,1.48614370201965,1.45435475215874,1.4543219181152
1.912,1.47188107188699,1.45934032829977,1.45826143868876,1.45822281222503
1.952,1.4763781111412,1.48146193551185,1.46555013842681,1.46547829498939
1.992,1.48086621337519,1.47241524063451,1.467639937792,1.46761874317815
2.032,1.48534520140639,1.46919040498678,1.47106974207894,1.47103590550381
2.072,1.48981489841201,1.49633504883303,1.47271475012577,1.47269828928246
2.112,1.49427512793607,1.492199438783,1.47890199938944,1.47884117285509
2.152,1.49872571389635,1.49347926040214,1.48255646736612,1.48252003940846
2.192,1.50316648059133,1.50903669139645,1.48630921051117,1.48627205820356
2.232,1.50759725270714,1.49076755904673,1.48893244526094,1.48890636052746
2.272,1.5120178553245,1.5014371822201,1.49545671141679,1.4953924861167
2.312,1.51642811392557,1.54397265341749,1.50246441926435,1.50239507992111
2.352,1.52082785440091,1.50814231103013,1.50870291454372,1.50864106708265
2.392,1.52521690305628,1.52540103677211,1.51183704918487,1.51180571301478
2.432,1.52959508661957,1.50047382108254,1.51636559663469,1.51632088759561
2.472,1.53396223224758,1.49508160782019,1.51942173803691,1.51939133461983
2.512,1.53831816753289,1.53686706988007,1.52221105440218,1.52218340743299
2.552,1.54266272051061,1.54885704486423,1.52518873190149,1.52515926510359
2.592,1.54699571966526,1.5650242164691,1.53086308907342,1.5308071638547
2.632,1.55131699393743,1.53946429860609,1.53243871425424,1.53242271712435
2.672,1.55562637273061,1.55322793595979,1.53865136370518,1.5385902926721
2.712,1.55992368591792,1.58730202030612,1.54339726809881,1.54335013635816
2.752,1.56420876384878,1.55293232537719,1.55012163560572,1.55005524197603
2.792,1.56848143735565,1.56287649429917,1.55459237561596,1.55454788963735
2.832,1.57274153776071,1.57808251493308,1.55783266856606,1.55780046175516
2.872,1.57698889688247,1.58090633059517,1.56342830197966,1.56337312177124
2.912,1.58122334704249,1.56940322041988,1.56823666579173,1.5681889794037
2.952,1.5854447210719,1.59354256447882,1.5733654810783,1.57331472618301
2.992,1.5896528523181,1.59793550209095,1.57798572475395,1.57793992624788
3.032,1.59384757465128,1.61055641944695,1.58548356472753,1.58540960037763
3.072,1.59802872247096,1.58930866528849,1.58935942780002,1.58932070027904
