v_mps,method,snr_db,n_total,n_valid,invalid_rate,dt_bias_ns,dt_std_ns,dt_rmse_ns,dt_abs_mean_ns,dt_ci95_low_ns,dt_ci95_high_ns,dt_outlier_rate,v_bias_mps,v_std_mps,v_rmse_mps,v_abs_mean_mps,v_ci95_low_mps,v_ci95_high_mps,v_outlier_rate
2.1,integer_only,20,200,200,0,3.06163425331367,1.78081445453801e-15,3.06163425331367,3.06163425331367,3.06163425331367,3.06163425331367,0,0.148994798100844,1.94776580965095e-16,0.148994798100844,0.148994798100844,0.148994798100844,0.148994798100844,0
2.1,parabolic_interp,20,200,200,0,0.028101507726796,0.38246505114825,0.382541255957581,0.302756618086872,-0.762596070850599,0.719931134387796,0,0.00136756324356929,0.0186127075808568,0.0186164160970417,0.0147336871269732,-0.0371118292414922,0.0350355349919818,0
2.2,integer_only,20,200,200,0,1.00962416281222,0,1.00962416281222,1.00962416281222,1.00962416281222,1.00962416281222,0,0.0491334809613946,0,0.0491334809613946,0.0491334809613946,0.0491334809613946,0.0491334809613946,0
2.2,parabolic_interp,20,200,200,0,-0.00730911940782306,0.249787065164326,0.24926899779216,0.200426531627177,-0.456397818969892,0.46711565913564,0,-0.000355699172520125,0.0121559174816784,0.0121307056708832,0.00975378119758187,-0.0222106545932078,0.0227322395702006,0
2.3,integer_only,20,200,200,0,-1.04238592768921,0,1.04238592768921,1.04238592768921,-1.04238592768921,-1.04238592768921,0,-0.0507278361780541,0,0.0507278361780541,0.0507278361780541,-0.0507278361780541,-0.0507278361780541,0
2.3,parabolic_interp,20,200,200,0,-0.0140094217416181,0.289366094460344,0.288981551033368,0.234985872550306,-0.541372011116586,0.59013559374721,0,-0.00068177018912158,0.0140820356888434,0.0140633218368536,0.0114356156680993,-0.0263459338444696,0.0287190194411108,0
2.4,integer_only,20,200,200,0,-3.09439601819065,4.45203613634502e-15,3.09439601819066,3.09439601819065,-3.09439601819066,-3.09439601819066,0,-0.150589153317503,0,0.150589153317503,0.150589153317503,-0.150589153317503,-0.150589153317503,0
2.4,parabolic_interp,20,200,200,0,-0.000280245328679491,0.382105855767923,0.381149497080241,0.301031535255641,-0.626432784330856,0.817232344000386,0,-1.36381725283674e-05,0.0185952272945971,0.0185486859843707,0.0146497357641125,-0.0304854265737676,0.0397707100265255,0
2.5,integer_only,20,200,200,0,-5.14640610869208,7.12325781815203e-15,5.14640610869209,5.14640610869208,-5.14640610869209,-5.14640610869209,0,-0.250450470456951,0,0.250450470456951,0.250450470456951,-0.250450470456951,-0.250450470456951,1
2.5,parabolic_interp,20,200,200,0,0.00851047664908997,0.571574594414059,0.570207381228525,0.456770554930016,-0.942888751770831,1.26086915381007,0,0.00041416336673844,0.0278157461826545,0.0277492105890189,0.0222287938334074,-0.0458857941798893,0.0613603485786015,0
2.6,integer_only,20,200,200,0,-7.19841619919354,1.78081445453801e-15,7.19841619919354,7.19841619919354,-7.19841619919354,-7.19841619919354,0,-0.3503117875964,2.78252258521564e-16,0.3503117875964,0.3503117875964,-0.3503117875964,-0.3503117875964,1
2.6,parabolic_interp,20,200,200,0,0.247932378254207,0.927269318266124,0.957601018609275,0.750210216172396,-1.26773591564625,2.28010728010412,0,0.0120656589207761,0.0451256725752386,0.0466017684099359,0.0365090701382169,-0.0616945203668477,0.110961694225784,0
2.7,integer_only,20,200,200,0,6.13418909492208,8.90407227269004e-15,6.13418909492209,6.13418909492208,6.13418909492209,6.13418909492209,0,0.298383112528739,3.89553161930189e-16,0.298383112528739,0.298383112528739,0.298383112528739,0.298383112528739,1
2.7,parabolic_interp,20,200,200,0,-0.169384962656449,0.858555469924416,0.872996662672072,0.702338688091498,-1.85305953534629,1.28691795038252,0,-0.00823933067450353,0.0417623991419968,0.0424648567894535,0.0341636034623666,-0.0901376960021326,0.0625990783235088,0
2.8,integer_only,20,200,200,0,4.08217900442065,0,4.08217900442065,4.08217900442065,4.08217900442065,4.08217900442065,0,0.198567937569257,0,0.198567937569257,0.198567937569257,0.198567937569257,0.198567937569257,0
2.8,parabolic_interp,20,200,200,0,0.0247978415093561,0.436718275710777,0.43633034620757,0.363726645239436,-0.890914668094079,0.771932299495206,0,0.00120623231841398,0.0212431270683579,0.0212242571556739,0.0176926219320531,-0.0433364357618969,0.0375488200022261,0
2.9,integer_only,20,200,200,0,2.03016891391921,0,2.03016891391921,2.03016891391921,2.03016891391921,2.03016891391921,0,0.0987527626097737,0,0.0987527626097737,0.0987527626097737,0.0987527626097737,0.0987527626097737,0
2.9,parabolic_interp,20,200,200,0,-0.0469508044027427,0.304795816274098,0.307636742285715,0.240689389205901,-0.747764183911287,0.506017853668057,0,-0.00228381077541552,0.0148260712114154,0.0149642613344607,0.0117077657686407,-0.0363732192112671,0.0246140410470187,0
